Feature,Coefficient,Abs_Coefficient
Session_Duration_hours,131.35058495825717,131.35058495825717
Intensity_Score,25.68862736743677,25.68862736743677
Experience_Level,24.38236330060119,24.38236330060119
Weight_Height_Ratio,24.05362080111141,24.05362080111141
Total_Weekly_Duration,-9.874794931475734,9.874794931475734
BMI,-8.694682695708906,8.694682695708906
Avg_BPM,7.165585103530278,7.165585103530278
Workout_Frequency_days,6.854877699497381,6.854877699497381
Age_BMI_interaction,-3.170208312621672,3.170208312621672
Fat_Percentage,-2.9123905404922388,2.9123905404922388
Height_m,1.6860441042879393,1.6860441042879393
Gender_encoded,-1.1240862531875504,1.1240862531875504
Resting_BPM,0.9788940806298357,0.9788940806298357
Hydration_per_hour,-0.8680334022200181,0.8680334022200181
Weight_kg,-0.8617701437128366,0.8617701437128366
Water_Intake_liters,0.15827654711535905,0.15827654711535905
